WaterRight,CombWaterRight,Source,WaterUse,MaxDivRate,Pdate
37-2538,37-310A,WILLOW CREEK,1,0.34,3/24/1883
37-2538,37-60,BIG WOOD RIVER,1,2.53,7/1/1880
37-2538,37-61,BIG WOOD RIVER,1,7.59,7/1/1880
37-2538,37-62,BIG WOOD RIVER,1,2.53,7/1/1881
37-2538,37-63A,BIG WOOD RIVER,1,1.81,7/31/1881
37-2538,37-64A,BIG WOOD RIVER,1,5.06,5/1/1883
37-2538,37-66A,BIG WOOD RIVER,1,3.79,12/19/1882
37-2538,37-67B,BIG WOOD RIVER,1,2.98,6/26/1883
37-2538,37-68A,BIG WOOD RIVER,1,1.44,6/26/1883
37-2538,37-69B,BIG WOOD RIVER,1,2.79,10/26/1886
37-2538,37-70,BIG WOOD RIVER,1,1.86,5/15/1887
37-2538,37-71B,BIG WOOD RIVER,1,0.46,5/1/1892
37-2553A,37-252,LOVING CREEK,1,2.5,6/1/1887
37-2553A,37-2553B,DRAINAGE DITCH,1,1.9,6/28/1954
37-2553A,37-2575,UNNAMED DRAIN,1,2,7/13/1955
37-2553A,37-712,LOVING CREEK,1,1.3,6/1/1887
37-2554,37-468,BIG WOOD RIVER,1,0.5,4/17/1883
37-2554,37-469,BIG WOOD RIVER,1,4.5,6/20/1884
37-2554,37-470,BIG WOOD RIVER,1,1,6/2/1890
37-2554,37-893A,BIG WOOD RIVER,1,1.69,9/1/1920
37-2556A,37-1206,BIG WOOD RIVER,1,30,4/1/1921
37-2556A,37-891B,BIG WOOD RIVER,1,6,7/24/1924
37-2557B,37-21859,BIG WOOD RIVER,1,0.08,3/24/1883
37-2557B,37-21876,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557B,37-21893,BIG WOOD RIVER,1,0.05,9/18/1885
37-2557B,37-21910,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557B,37-21927,BIG WOOD RIVER,1,0.13,6/15/1891
37-2557D,37-21673,BIG WOOD RIVER,1,0.08,3/24/1883
37-2557D,37-21682,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557D,37-21691,BIG WOOD RIVER,1,0.05,9/18/1885
37-2557D,37-21700,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557D,37-21709,BIG WOOD RIVER,1,0.13,6/15/1891
37-2557F,37-21671,BIG WOOD RIVER,1,0.08,3/24/1883
37-2557F,37-21680,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557F,37-21689,BIG WOOD RIVER,1,0.05,9/18/1885
37-2557F,37-21698,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557F,37-21707,BIG WOOD RIVER,1,0.13,6/15/1891
37-2557H,37-21514,BIG WOOD RIVER,1,0.15,3/24/1883
37-2557H,37-21525,BIG WOOD RIVER,1,0.01,7/10/1884
37-2557H,37-21536,BIG WOOD RIVER,1,0.1,9/18/1885
37-2557H,37-21547,BIG WOOD RIVER,1,0.01,6/12/1886
37-2557H,37-21558,BIG WOOD RIVER,1,0.26,6/15/1891
37-2557K,37-20765,BIG WOOD RIVER,1,0.1,3/24/1883
37-2557K,37-20772,BIG WOOD RIVER,1,6.00E-03,7/10/1884
37-2557K,37-20779,BIG WOOD RIVER,1,0.06,9/18/1885
37-2557K,37-20786,BIG WOOD RIVER,1,6.00E-03,6/12/1886
37-2557K,37-20793,BIG WOOD RIVER,1,0.15,6/15/1891
37-2557M,37-21860,BIG WOOD RIVER,1,0.2,3/24/1883
37-2557M,37-21877,BIG WOOD RIVER,1,0.01,7/10/1884
37-2557M,37-21894,BIG WOOD RIVER,1,0.12,9/18/1885
37-2557M,37-21911,BIG WOOD RIVER,1,0.01,6/12/1886
37-2557M,37-21928,BIG WOOD RIVER,1,0.3,6/15/1891
37-2557P,37-21854,BIG WOOD RIVER,1,0.16,3/24/1883
37-2557P,37-21871,BIG WOOD RIVER,1,0.01,7/10/1884
37-2557P,37-21888,BIG WOOD RIVER,1,0.1,9/18/1885
37-2557P,37-21905,BIG WOOD RIVER,1,0.01,6/12/1886
37-2557P,37-21922,BIG WOOD RIVER,1,0.25,6/15/1891
37-2557R,37-21858,BIG WOOD RIVER,1,0.08,3/24/1883
37-2557R,37-21875,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557R,37-21892,BIG WOOD RIVER,1,0.05,9/18/1885
37-2557R,37-21909,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557R,37-21926,BIG WOOD RIVER,1,0.13,6/15/1891
37-2557T,37-21847,BIG WOOD RIVER,1,0.08,3/24/1883
37-2557T,37-21864,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557T,37-21881,BIG WOOD RIVER,1,0.05,9/18/1885
37-2557T,37-21898,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557T,37-21915,BIG WOOD RIVER,1,0.13,6/15/1891
37-2557V,37-21513,BIG WOOD RIVER,1,0.16,3/24/1883
37-2557V,37-21524,BIG WOOD RIVER,1,0.01,7/10/1884
37-2557V,37-21535,BIG WOOD RIVER,1,0.1,9/18/1885
37-2557V,37-21546,BIG WOOD RIVER,1,0.01,6/12/1886
37-2557V,37-21557,BIG WOOD RIVER,1,0.26,6/15/1891
37-2557X,37-20764,BIG WOOD RIVER,1,0.09,3/24/1883
37-2557X,37-20771,BIG WOOD RIVER,1,5.00E-03,7/10/1884
37-2557X,37-20778,BIG WOOD RIVER,1,0.04,9/18/1885
37-2557X,37-20785,BIG WOOD RIVER,1,5.00E-03,6/12/1886
37-2557X,37-20792,BIG WOOD RIVER,1,0.12,6/15/1891
37-2557Y,37-11924B,BIG WOOD RIVER,1,0.76,3/24/1884
37-2557Y,37-11925B,BIG WOOD RIVER,1,0.04,7/10/1884
37-2557Y,37-11926B,BIG WOOD RIVER,1,0.45,9/18/1885
37-2557Y,37-11927B,BIG WOOD RIVER,1,0.04,6/12/1886
37-2557Y,37-11928B,BIG WOOD RIVER,1,1.15,6/15/1891
37-2557Y,37-11924B,BIG WOOD RIVER,1,0.76,3/24/1883
37-2557Y,37-11925B,BIG WOOD RIVER,1,0.04,7/10/1884
37-2557Y,37-11926B,BIG WOOD RIVER,1,0.45,9/18/1885
37-2557Y,37-11927B,BIG WOOD RIVER,1,0.04,6/12/1886
37-2557Y,37-11928B,BIG WOOD RIVER,1,1.15,6/15/1891
37-2561,37-115D,BIG WOOD RIVER,1,1.9,6/12/1886
37-2561,37-590A,BIG WOOD RIVER,1,3.8,5/1/1886
37-2566A,37-1082E,LOVING CREEK,1,0.01,7/8/1884
37-2566A,37-137C,LOVING CREEK,1,0.01,6/1/1889
37-2566A,37-138C,LOVING CREEK,1,0.02,5/15/1890
37-2566A,37-207C,LOVING CREEK,1,0.06,4/1/1890
37-2566A,37-448D,LOVING CREEK,1,0.05,6/15/1887
37-2567B,37-480D,BIG WOOD RIVER,1,2.46,6/15/1891
37-2568,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-2568,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-2568,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-2568,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-2568,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-2568,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-2568,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-2568,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-2568,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-2568,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-2568,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-2568,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-2573,37-407,SILVER CREEK,1,2,5/31/1885
37-2573,37-408,SILVER CREEK,1,1,10/25/1892
37-2573,37-693,SILVER CREEK,1,1,4/1/1890
37-2576,37-118,BUHLER DRAIN,1,8,7/1/1904
37-2581,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-2581,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-2581,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-2581,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-2581,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-2581,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-2581,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-2581,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-2581,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-2581,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-2581,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-2581,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-2582,37-11773,BIG WOOD RIVER,1,0.09,4/17/1883
37-2582,37-11774,BIG WOOD RIVER,1,0.82,6/20/1884
37-2582,37-11776,BIG WOOD RIVER,1,0.5,6/30/1884
37-2582,37-11777,BIG WOOD RIVER,1,0.18,6/2/1890
37-2582,37-11778,BIG WOOD RIVER,1,2.4,10/1/1890
37-2582,37-11779,BIG WOOD RIVER,1,2.38,6/1/1901
37-2594A,37-1082E,LOVING CREEK,1,0.01,7/8/1884
37-2594A,37-137C,LOVING CREEK,1,0.01,6/1/1889
37-2594A,37-138C,LOVING CREEK,1,0.02,5/15/1890
37-2594A,37-207C,LOVING CREEK,1,0.06,4/1/1890
37-2594A,37-448D,LOVING CREEK,1,0.05,6/15/1887
37-2597,37-1187,CRYSTAL CREEK,1,1.59,5/1/1884
37-2597,37-1207,BLACK SLOUGH,1,4.66,6/1/1881
37-2597,37-139,CRYSTAL CREEK,1,2.62,6/1/1883
37-2597,37-180,BLACK SLOUGH,1,4.6,6/1/1881
37-2597,37-181,BLACK SLOUGH,1,3.06,5/15/1883
37-2597,37-19831,WILLOW CREEK,1,1.02,3/24/1883
37-2597,37-230,BIG WOOD RIVER,1,3.61,5/15/1883
37-2597,37-231A,BLACK SLOUGH,1,1.89,5/15/1883
37-2597,37-231B,BIG WOOD RIVER,1,0.36,5/15/1883
37-2597,37-232,BIG WOOD RIVER,1,1.44,5/15/1884
37-2597,37-233,BLACK SLOUGH,1,1.51,5/15/1888
37-2597,37-310A,WILLOW CREEK,1,0.34,3/24/1883
37-2597,37-60,BIG WOOD RIVER,1,2.53,7/1/1880
37-2597,37-61,BIG WOOD RIVER,1,7.59,7/1/1880
37-2597,37-62,BIG WOOD RIVER,1,2.53,7/1/1881
37-2597,37-63A,BIG WOOD RIVER,1,1.81,7/31/1881
37-2597,37-64A,BIG WOOD RIVER,1,5.06,5/1/1883
37-2597,37-66A,BIG WOOD RIVER,1,3.79,12/19/1882
37-2597,37-67B,BIG WOOD RIVER,1,2.98,6/26/1883
37-2597,37-68A,BIG WOOD RIVER,1,1.44,6/26/1883
37-2597,37-69B,BIG WOOD RIVER,1,2.79,10/26/1886
37-2597,37-70,BIG WOOD RIVER,1,1.86,5/15/1887
37-2597,37-71B,BIG WOOD RIVER,1,0.46,5/1/1892
37-2599,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-2599,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-2599,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-2599,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-2599,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-2599,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-2599,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-2599,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-2599,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-2599,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-2599,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-2599,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-2600,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-2600,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-2600,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-2600,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-2600,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-2600,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-2604,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-2604,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-2604,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-2604,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-2604,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-2604,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-2604,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-2604,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-2604,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-2604,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-2604,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-2604,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-2608,37-2607,UNNAMED DRAIN,1,0.12,10/8/1958
37-2612A,37-1082E,LOVING CREEK,1,0.01,7/8/1884
37-2612A,37-137C,LOVING CREEK,1,0.01,6/1/1889
37-2612A,37-138C,LOVING CREEK,1,0.02,5/15/1890
37-2612A,37-207C,LOVING CREEK,1,0.06,4/1/1890
37-2612A,37-448D,LOVING CREEK,1,0.05,6/15/1887
37-2614,37-1153B,WILLOW CREEK,1,1.4,6/30/1888
37-2615,37-426E,LOVING CREEK,1,0.21,4/1/1887
37-2615,37-632G,LOVING CREEK,1,0.25,6/3/1897
37-2615,37-706E,LOVING CREEK,1,0.23,3/15/1883
37-2615,37-95G,LOVING CREEK,1,0.21,5/29/1893
37-2616,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-2616,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-2616,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-2616,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-2616,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-2616,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-2616,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-2616,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-2616,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-2616,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-2616,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-2616,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-2623,37-494,BIG WOOD RIVER,1,1.85,5/1/1886
37-2623,37-495,BIG WOOD RIVER,1,2.59,7/1/1892
37-2623,37-577V,BIG WOOD RIVER,1,2.8,3/24/1883
37-2623,37-833K,BIG WOOD RIVER,1,0.69,11/12/1936
37-2625A,37-22155,BIG WOOD RIVER,1,1.86,4/1/1922
37-2627A,37-11892,SILVER CREEK,1,3.3,4/1/1887
37-2627A,37-11898,SILVER CREEK,1,1.54,6/1/1889
37-2627A,37-11900,SILVER CREEK,1,14,4/1/1890
37-2627A,37-11903,SILVER CREEK,1,2.8,6/1/1893
37-2627A,37-186,SILVER CREEK,1,0.4,7/1/1886
37-2627A,37-187,SILVER CREEK,1,1.6,11/1/1892
37-2627A,37-189,SILVER CREEK,1,1.8,4/1/1899
37-2627A,37-20609,SILVER CREEK,1,19.69,9/1/1883
37-2627A,37-21,SILVER CREEK,1,5.6,9/1/1887
37-2627A,37-213,SILVER CREEK,1,1.6,4/1/1885
37-2627A,37-215D,SILVER CREEK,1,4,3/31/1877
37-2627A,37-22,SILVER CREEK,1,1,6/17/1899
37-2627A,37-2405,SILVER CREEK,1,4,2/9/1920
37-2627A,37-333,SILVER CREEK,1,1.6,11/1/1889
37-2627A,37-351A,SILVER CREEK,1,0.25,6/1/1886
37-2627A,37-352A,SILVER CREEK,1,0.6,6/15/1887
37-2627A,37-377,SILVER CREEK,1,0.8,4/1/1888
37-2627A,37-378,SILVER CREEK,1,2,6/15/1888
37-2627A,37-695,SILVER CREEK,1,1.2,4/1/1889
37-2627A,37-942,SILVER CREEK,1,5,8/1/1917
37-2627C,37-14260A,BIG WOOD RIVER,1,0.08,3/24/1883
37-2627C,37-153A,GREENHORN CREEK,1,4.74,9/1/1885
37-2627C,37-154C,BIG WOOD RIVER,1,2.85,12/13/1887
37-2627C,37-20749,BIG WOOD RIVER,1,0.02,3/24/1883
37-2629,37-11754,WASTE WATER,1,3,5/1/1952
37-2629,37-21998,LOVING CREEK,1,0.66,6/15/1887
37-2630,37-22721,BIG WOOD RIVER,1,0.13,5/1/1902
37-2630,37-22723,BIG WOOD RIVER,1,0.04,6/23/1888
37-2630,37-22725,BIG WOOD RIVER,1,0.02,8/2/1889
37-2630,37-22727,BIG WOOD RIVER,1,0.02,5/1/1886
37-2630,37-22729,BIG WOOD RIVER,1,0.01,7/10/1884
37-2630,37-22731,BIG WOOD RIVER,1,0.03,10/15/1884
37-2630,37-22733,BIG WOOD RIVER,1,0.04,6/12/1886
37-2630,37-22735,BIG WOOD RIVER,1,0.09,6/15/1891
37-2630,37-481C,BIG WOOD RIVER,1,3.01,8/1/1882
37-2630,37-482H,BIG WOOD RIVER,1,3.01,8/1/1884
37-2630,37-483C,BIG WOOD RIVER,1,15.08,8/1/1902
37-2631,37-501E,BIG WOOD RIVER,1,4.2,5/1/1886
37-2632,37-14260A,BIG WOOD RIVER,1,0.08,3/24/1883
37-2632,37-153A,GREENHORN CREEK,1,4.74,9/1/1885
37-2632,37-154C,BIG WOOD RIVER,1,2.85,12/13/1887
37-2632,37-20749,BIG WOOD RIVER,1,0.02,3/24/1883
37-2638,37-22155,BIG WOOD RIVER,1,1.86,4/1/1922
37-2639B,37-21616,BIG WOOD RIVER,1,0.16,7/1/1887
37-2639D,37-332,BIG WOOD RIVER,1,1,7/1/1887
37-2639F,37-22053,BIG WOOD RIVER,1,0.46,7/1/1887
37-2639H,37-20803,BIG WOOD RIVER,1,0.12,7/1/1887
37-2641A,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-2641A,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-2641A,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-2641A,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-2641A,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-2641A,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-2641B,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-2641B,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-2641B,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-2641B,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-2641B,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-2641B,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-2642,37-11614,UNNAMED STREAM,1,0.58,4/15/1962
37-2642,37-2598,UNNAMED DRAIN,1,2.28,9/27/1957
37-2642,37-2643,UNNAMED STREAM,1,3.4,9/27/1960
37-2642,37-2661,UNNAMED STREAM,1,2.32,5/24/1961
37-2642,37-7633,UNNAMED STREAM,1,4.06,6/20/1977
37-2643,37-11614,UNNAMED STREAM,1,0.58,4/15/1962
37-2643,37-2598,UNNAMED DRAIN,1,2.28,9/27/1957
37-2643,37-2642,UNNAMED STREAM,1,3,9/27/1960
37-2643,37-2661,UNNAMED STREAM,1,2.32,5/24/1961
37-2643,37-7633,UNNAMED STREAM,1,4.06,6/20/1977
37-2644B,37-153D,GREENHORN CREEK,1,0.33,9/1/1885
37-2644D,37-153C,GREENHORN CREEK,1,0.15,9/1/1885
37-2656,37-115G,BIG WOOD RIVER,1,8.8,6/12/1886
37-2656,37-158D,BIG WOOD RIVER,1,1,7/1/1881
37-2656,37-22720,BIG WOOD RIVER,1,5.87,5/1/1902
37-2656,37-22722,BIG WOOD RIVER,1,0.84,6/23/1888
37-2656,37-22724,BIG WOOD RIVER,1,0.44,8/2/1889
37-2656,37-22726,BIG WOOD RIVER,1,0.78,5/1/1886
37-2656,37-22728,BIG WOOD RIVER,1,0.39,7/10/1884
37-2656,37-22730,BIG WOOD RIVER,1,2.37,10/15/1884
37-2656,37-22732,BIG WOOD RIVER,1,3.16,6/12/1886
37-2656,37-22734,BIG WOOD RIVER,1,7.11,6/15/1891
37-2656,37-597A,BIG WOOD RIVER,1,1.6,5/1/1886
37-2656,37-666H,BIG WOOD RIVER,1,0.79,6/12/1886
37-2656,37-667M,BIG WOOD RIVER,1,1.59,6/15/1891
37-2656,37-886D,BIG WOOD RIVER,1,0.12,6/1/1884
37-2658,37-20570,BIG WOOD RIVER,1,6.49,3/24/1883
37-2658,37-20571,BIG WOOD RIVER,1,0.77,3/24/1883
37-2658,37-20574,BIG WOOD RIVER,1,2.21,5/15/1885
37-2658,37-20577,BIG WOOD RIVER,1,9.6,5/31/1887
37-2658,37-20578,BIG WOOD RIVER,1,1.11,5/31/1887
