WaterRight,CombWaterRight,Source,WaterUse,MaxDivRate,Pdate
37-2658,37-20581,BIG WOOD RIVER,1,0.55,6/15/1891
37-2658,37-20584,BIG WOOD RIVER,1,3.32,5/15/1892
37-2658,37-20593,BIG WOOD RIVER,1,3.36,6/30/1884
37-2658,37-22026,BIG WOOD RIVER,1,0.01,5/31/1887
37-2658,37-22028,BIG WOOD RIVER,1,0.03,5/15/1892
37-2658,37-22030,BIG WOOD RIVER,1,0.06,5/31/1887
37-2658,37-22032,BIG WOOD RIVER,1,0.02,5/15/1885
37-2658,37-22034,BIG WOOD RIVER,1,0.02,6/30/1884
37-2658,37-22036,BIG WOOD RIVER,1,0.01,6/15/1891
37-2658,37-22038,BIG WOOD RIVER,1,0.01,3/24/1883
37-2658,37-22040,BIG WOOD RIVER,1,0.04,3/24/1883
37-2661,37-11614,UNNAMED STREAM,1,0.58,4/15/1962
37-2661,37-2598,UNNAMED DRAIN,1,2.28,9/27/1957
37-2661,37-2642,UNNAMED STREAM,1,3,9/27/1960
37-2661,37-2643,UNNAMED STREAM,1,3.4,9/27/1960
37-2661,37-7633,UNNAMED STREAM,1,4.06,6/20/1977
37-2662A,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-2662A,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-2662A,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-2662A,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-2662A,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-2662A,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-2662B,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-2662B,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-2662B,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-2662B,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-2662B,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-2662B,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-2664A,37-501E,BIG WOOD RIVER,1,4.2,5/1/1886
37-2668,37-501E,BIG WOOD RIVER,1,4.2,5/1/1886
37-2681,37-118,BUHLER DRAIN,1,8,7/1/1904
37-2682,37-884,BIG WOOD RIVER,1,3.2,5/14/1913
37-2683A,37-22550,SILVER CREEK,1,0.01,6/1/1889
37-2683A,37-22552,SILVER CREEK,1,0.02,5/15/1890
37-2683A,37-22554,SILVER CREEK,1,0.06,4/1/1890
37-2683A,37-22556,SILVER CREEK,1,0.05,6/15/1887
37-2683A,37-22558,SILVER CREEK,1,0.01,7/8/1884
37-2684,37-11671,BIG WOOD RIVER,1,1.38,3/24/1883
37-2684,37-2345A,BIG WOOD RIVER,1,4.8,2/12/1917
37-2684,37-353D,BIG WOOD RIVER,1,3.6,6/12/1886
37-2684,37-418D,BIG WOOD RIVER,1,1.75,6/23/1888
37-2684,37-419D,BIG WOOD RIVER,1,0.92,8/2/1889
37-2684,37-443,LOVING CREEK,1,4,6/15/1888
37-2684,37-480B,BIG WOOD RIVER,1,3.5,6/15/1891
37-2684,37-637,LOVING CREEK,1,3.8,4/1/1885
37-2684,37-665H,BIG WOOD RIVER,1,8.16,10/15/1884
37-2684,37-666F,BIG WOOD RIVER,1,3.42,6/12/1886
37-2684,37-667K,BIG WOOD RIVER,1,8.16,6/15/1891
37-2684,37-713B,BIG WOOD RIVER,1,3,6/10/1880
37-2685,37-2607,UNNAMED DRAIN,1,0.12,10/8/1958
37-2686D,37-252,LOVING CREEK,1,2.5,6/1/1887
37-2686D,37-2553B,DRAINAGE DITCH,1,1.9,6/28/1954
37-2686D,37-2575,UNNAMED DRAIN,1,2,7/13/1955
37-2686D,37-712,LOVING CREEK,1,1.3,6/1/1887
37-2700,37-22155,BIG WOOD RIVER,1,1.86,4/1/1922
37-2713,37-11975,BIG WOOD RIVER,1,3.2,6/15/1891
37-2713,37-11976,BIG WOOD RIVER,1,0.7,6/1/1884
37-2713,37-11977,BIG WOOD RIVER,1,0.8,6/15/1891
37-2713,37-11978,BIG WOOD RIVER,1,3.5,3/24/1883
37-2713,37-481D,BIG WOOD RIVER,1,3,8/1/1882
37-2713,37-482J,BIG WOOD RIVER,1,3,8/1/1884
37-2713,37-483D,BIG WOOD RIVER,1,3,8/1/1902
37-2713,37-917,BIG WOOD RIVER,1,2.54,4/1/1940
37-2732,37-11566,BIG WOOD RIVER,1,0.55,3/24/1883
37-2732,37-11567,BIG WOOD RIVER,1,0.48,10/15/1884
37-2732,37-11568,BIG WOOD RIVER,1,0.48,6/12/1886
37-2732,37-11569,BIG WOOD RIVER,1,1,6/15/1891
37-2764,37-1187,CRYSTAL CREEK,1,1.59,5/1/1884
37-2764,37-1207,BLACK SLOUGH,1,4.66,6/1/1881
37-2764,37-139,CRYSTAL CREEK,1,2.62,6/1/1883
37-2764,37-180,BLACK SLOUGH,1,4.6,6/1/1881
37-2764,37-181,BLACK SLOUGH,1,3.06,5/15/1883
37-2764,37-19831,WILLOW CREEK,1,1.02,3/24/1883
37-2764,37-230,BIG WOOD RIVER,1,3.61,5/15/1883
37-2764,37-231A,BLACK SLOUGH,1,1.89,5/15/1883
37-2764,37-231B,BIG WOOD RIVER,1,0.36,5/15/1883
37-2764,37-232,BIG WOOD RIVER,1,1.44,5/15/1884
37-2764,37-233,BLACK SLOUGH,1,1.51,5/15/1888
37-2764,37-310A,WILLOW CREEK,1,0.34,3/24/1883
37-2764,37-60,BIG WOOD RIVER,1,2.53,7/1/1880
37-2764,37-61,BIG WOOD RIVER,1,7.59,7/1/1880
37-2764,37-62,BIG WOOD RIVER,1,2.53,7/1/1881
37-2764,37-63A,BIG WOOD RIVER,1,1.81,7/31/1881
37-2764,37-64A,BIG WOOD RIVER,1,5.06,5/1/1883
37-2764,37-66A,BIG WOOD RIVER,1,3.79,12/19/1882
37-2764,37-67B,BIG WOOD RIVER,1,2.98,6/26/1883
37-2764,37-68A,BIG WOOD RIVER,1,1.44,6/26/1883
37-2764,37-69B,BIG WOOD RIVER,1,2.79,10/26/1886
37-2764,37-70,BIG WOOD RIVER,1,1.86,5/15/1887
37-2764,37-71B,BIG WOOD RIVER,1,0.46,5/1/1892
37-4109,37-1206,BIG WOOD RIVER,1,30,4/1/1921
37-4109,37-891B,BIG WOOD RIVER,1,6,7/24/1924
37-4114,37-468,BIG WOOD RIVER,1,0.5,4/17/1883
37-4114,37-469,BIG WOOD RIVER,1,4.5,6/20/1884
37-4114,37-470,BIG WOOD RIVER,1,1,6/2/1890
37-4114,37-893A,BIG WOOD RIVER,1,1.69,9/1/1920
37-4289A,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-4289A,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-4289A,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-4289A,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-4289A,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-4289A,37-4289B,CAIN CREEK,1,0.08,6/1/1961
37-4289B,37-2600,CAIN CREEK,1,0.72,12/27/1957
37-4289B,37-2641A,CAIN CREEK,1,4.07,9/27/1960
37-4289B,37-2641B,CAIN CREEK,1,0.93,9/27/1960
37-4289B,37-2662A,CAIN CREEK,1,2.1,5/24/1961
37-4289B,37-2662B,CAIN CREEK,1,1.32,5/24/1961
37-4289B,37-4289A,CAIN CREEK,1,0.16,6/1/1961
37-4421B,37-20570,BIG WOOD RIVER,1,6.49,3/24/1883
37-4421B,37-20571,BIG WOOD RIVER,1,0.77,3/24/1883
37-4421B,37-20574,BIG WOOD RIVER,1,2.21,5/15/1885
37-4421B,37-20577,BIG WOOD RIVER,1,9.6,5/31/1887
37-4421B,37-20578,BIG WOOD RIVER,1,1.11,5/31/1887
37-4421B,37-20581,BIG WOOD RIVER,1,0.55,6/15/1891
37-4421B,37-20584,BIG WOOD RIVER,1,3.32,5/15/1892
37-4421B,37-20593,BIG WOOD RIVER,1,3.36,6/30/1884
37-4421B,37-22026,BIG WOOD RIVER,1,0.01,5/31/1887
37-4421B,37-22028,BIG WOOD RIVER,1,0.03,5/15/1892
37-4421B,37-22030,BIG WOOD RIVER,1,0.06,5/31/1887
37-4421B,37-22032,BIG WOOD RIVER,1,0.02,5/15/1885
37-4421B,37-22034,BIG WOOD RIVER,1,0.02,6/30/1884
37-4421B,37-22036,BIG WOOD RIVER,1,0.01,6/15/1891
37-4421B,37-22038,BIG WOOD RIVER,1,0.01,3/24/1883
37-4421B,37-22040,BIG WOOD RIVER,1,0.04,3/24/1883
37-4433,37-115B,BIG WOOD RIVER,1,3.2,6/12/1886
37-4433,37-667C,BIG WOOD RIVER,1,3.2,6/15/1891
37-4433,37-881,BIG WOOD RIVER,1,3.6,5/1/1901
37-4440,37-1222,DEMOCRAT GULCH CREEK,1,0.4,6/9/1911
37-4440,37-2142,HOT SPRINGS GULCH,1,1.5,6/24/1909
37-4440,37-4138,HAILEY HOT SPRINGS,1,0.15,12/31/1948
37-4440,37-548,DEMOCRAT GULCH CREEK,1,3.6,6/1/1880
37-4440,37-549,CROY CREEK,1,3.11,6/30/1882
37-578F,37-686D,BIG WOOD RIVER,1,0.15,6/1/1886
37-686D,37-578F,BIG WOOD RIVER,1,0.1,5/2/1884
37-7002,37-11824,BIG WOOD RIVER,1,1.22,3/24/1883
37-7002,37-11825,BIG WOOD RIVER,1,7.7,6/15/1883
37-7002,37-11826,BIG WOOD RIVER,1,2.7,6/26/1883
37-7002,37-11827,BIG WOOD RIVER,1,1.6,10/26/1886
37-7014,37-407,SILVER CREEK,1,2,5/31/1885
37-7014,37-408,SILVER CREEK,1,1,10/25/1892
37-7014,37-693,SILVER CREEK,1,1,4/1/1890
37-7210,37-11816,BIG WOOD RIVER,1,0.2,3/24/1883
37-7210,37-11817,BIG WOOD RIVER,1,0.08,4/17/1883
37-7210,37-11818,BIG WOOD RIVER,1,0.68,6/20/1884
37-7210,37-11819,BIG WOOD RIVER,1,0.15,6/2/1890
37-7210,37-11820,BIG WOOD RIVER,1,1.97,6/1/1901
37-7239A,37-1082E,LOVING CREEK,1,0.01,7/8/1884
37-7239A,37-137C,LOVING CREEK,1,0.01,6/1/1889
37-7239A,37-138C,LOVING CREEK,1,0.02,5/15/1890
37-7239A,37-207C,LOVING CREEK,1,0.06,4/1/1890
37-7239A,37-448D,LOVING CREEK,1,0.05,6/15/1887
37-7243,37-577Y,BIG WOOD RIVER,1,0.46,3/24/1883
37-7284,37-2607,UNNAMED DRAIN,1,0.12,10/8/1958
37-7309,37-11824,BIG WOOD RIVER,1,1.22,3/24/1883
37-7309,37-11825,BIG WOOD RIVER,1,7.7,6/15/1883
37-7309,37-11826,BIG WOOD RIVER,1,2.7,6/26/1883
37-7309,37-11827,BIG WOOD RIVER,1,1.6,10/26/1886
37-7312C,37-537B,BIG WOOD RIVER,1,0.38,5/15/1882
37-7312C,37-538B,BIG WOOD RIVER,1,3.49,5/15/1891
37-7356,37-11975,BIG WOOD RIVER,1,3.2,6/15/1891
37-7356,37-11976,BIG WOOD RIVER,1,0.7,6/1/1884
37-7356,37-11977,BIG WOOD RIVER,1,0.8,6/15/1891
37-7356,37-11978,BIG WOOD RIVER,1,3.5,3/24/1883
37-7356,37-481D,BIG WOOD RIVER,1,3,8/1/1882
37-7356,37-482J,BIG WOOD RIVER,1,3,8/1/1884
37-7356,37-483D,BIG WOOD RIVER,1,3,8/1/1902
37-7356,37-917,BIG WOOD RIVER,1,2.54,4/1/1940
37-7551,37-12018,SILVER CREEK,1,0.54,4/15/1983
37-7551,37-2188,SILVER CREEK,1,2.24,10/15/1911
37-7551,37-464,SILVER CREEK,1,2,6/1/1886
37-7584,37-11754,WASTE WATER,1,3,5/1/1952
37-7584,37-21998,LOVING CREEK,1,0.66,6/15/1887
37-7598D,37-252,LOVING CREEK,1,2.5,6/1/1887
37-7598D,37-2553B,DRAINAGE DITCH,1,1.9,6/28/1954
37-7598D,37-2575,UNNAMED DRAIN,1,2,7/13/1955
37-7598D,37-712,LOVING CREEK,1,1.3,6/1/1887
37-7633,37-11614,UNNAMED STREAM,1,0.58,4/15/1962
37-7633,37-2598,UNNAMED DRAIN,1,2.28,9/27/1957
37-7633,37-2642,UNNAMED STREAM,1,3,9/27/1960
37-7633,37-2643,UNNAMED STREAM,1,3.4,9/27/1960
37-7633,37-2661,UNNAMED STREAM,1,2.32,5/24/1961
37-7644,37-118,BUHLER DRAIN,1,8,7/1/1904
37-7645,37-115G,BIG WOOD RIVER,1,8.8,6/12/1886
37-7645,37-158D,BIG WOOD RIVER,1,1,7/1/1881
37-7645,37-22720,BIG WOOD RIVER,1,5.87,5/1/1902
37-7645,37-22722,BIG WOOD RIVER,1,0.84,6/23/1888
37-7645,37-22724,BIG WOOD RIVER,1,0.44,8/2/1889
37-7645,37-22726,BIG WOOD RIVER,1,0.78,5/1/1886
37-7645,37-22728,BIG WOOD RIVER,1,0.39,7/10/1884
37-7645,37-22730,BIG WOOD RIVER,1,2.37,10/15/1884
37-7645,37-22732,BIG WOOD RIVER,1,3.16,6/12/1886
37-7645,37-22734,BIG WOOD RIVER,1,7.11,6/15/1891
37-7645,37-597A,BIG WOOD RIVER,1,1.6,5/1/1886
37-7645,37-666H,BIG WOOD RIVER,1,0.79,6/12/1886
37-7645,37-667M,BIG WOOD RIVER,1,1.59,6/15/1891
37-7645,37-886D,BIG WOOD RIVER,1,0.12,6/1/1884
37-7651,37-20570,BIG WOOD RIVER,1,6.49,3/24/1883
37-7651,37-20571,BIG WOOD RIVER,1,0.77,3/24/1883
37-7651,37-20574,BIG WOOD RIVER,1,2.21,5/15/1885
37-7651,37-20577,BIG WOOD RIVER,1,9.6,5/31/1887
37-7651,37-20578,BIG WOOD RIVER,1,1.11,5/31/1887
37-7651,37-20581,BIG WOOD RIVER,1,0.55,6/15/1891
37-7651,37-20584,BIG WOOD RIVER,1,3.32,5/15/1892
37-7651,37-20593,BIG WOOD RIVER,1,3.36,6/30/1884
37-7651,37-22026,BIG WOOD RIVER,1,0.01,5/31/1887
37-7651,37-22028,BIG WOOD RIVER,1,0.03,5/15/1892
37-7651,37-22030,BIG WOOD RIVER,1,0.06,5/31/1887
37-7651,37-22032,BIG WOOD RIVER,1,0.02,5/15/1885
37-7651,37-22034,BIG WOOD RIVER,1,0.02,6/30/1884
37-7651,37-22036,BIG WOOD RIVER,1,0.01,6/15/1891
37-7651,37-22038,BIG WOOD RIVER,1,0.01,3/24/1883
37-7651,37-22040,BIG WOOD RIVER,1,0.04,3/24/1883
37-7745C,37-1227A,TOWNSEND GULCH,1,0.8,6/1/1883
37-7745C,37-20936,BIG WOOD RIVER,1,0.6,6/1/1885
37-7745C,37-20938,BIG WOOD RIVER,1,0.63,6/1/1886
37-7745C,37-20940,BIG WOOD RIVER,1,1.1,8/15/1902
37-7745C,37-20944,BIG WOOD RIVER,1,0.25,6/10/1880
37-7745C,37-2468A,LEES GULCH,1,0.69,2/15/1945
37-7758,37-115F,BIG WOOD RIVER,1,1,6/12/1886
37-7758,37-20641,BIG WOOD RIVER,1,0.96,7/10/1884
37-7758,37-20643,BIG WOOD RIVER,1,0.67,3/24/1883
37-7758,37-20645,BIG WOOD RIVER,1,5.4,5/17/1883
37-7758,37-20647,BIG WOOD RIVER,1,0.48,4/17/1883
37-7758,37-20649,BIG WOOD RIVER,1,4.34,6/20/1884
37-7758,37-20651,BIG WOOD RIVER,1,0.96,6/2/1890
37-7758,37-501B,BIG WOOD RIVER,1,0.4,5/1/1886
37-7758,37-501C,BIG WOOD RIVER,1,2,5/1/1886
37-7758,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-7758,37-590B,BIG WOOD RIVER,1,1,5/1/1886
37-7758,37-597B,BIG WOOD RIVER,1,0.7,5/1/1886
37-7775B,37-604H,BIG WOOD RIVER,1,0.53,6/3/1887
37-7775C,37-604C,BIG WOOD RIVER,1,0.53,6/3/1887
37-7775D,37-604D,BIG WOOD RIVER,1,0.53,6/3/1887
37-7775E,37-604E,BIG WOOD RIVER,1,1.04,6/3/1887
37-7775F,37-604F,BIG WOOD RIVER,1,0.53,6/3/1887
37-7775G,37-604G,BIG WOOD RIVER,1,0.53,6/3/1887
37-7799,37-629,LOVING CREEK,1,0.5,5/15/1904
37-7799,37-630A,LOVING CREEK,1,0.3,6/30/1885
37-7799,37-631,LOVING CREEK,1,0.7,6/15/1887
37-7871,37-863E,EAGLE CREEK,1,4.56,10/6/1902
37-7958,37-4K,BIG WOOD RIVER,1,0.13,3/24/1883
37-7958,37-577K,BIG WOOD RIVER,1,1.38,3/24/1883
37-7995,37-577Y,BIG WOOD RIVER,1,0.46,3/24/1883
37-800,37-11556,BIG WOOD RIVER,1,0.69,3/24/1883
37-800,37-125,LOVING CREEK,1,0.2,4/1/1884
37-800,37-4142,WASTE WATER,1,4.6,4/30/1931
37-8001D,37-578F,BIG WOOD RIVER,1,0.1,5/2/1884
37-8001D,37-686D,BIG WOOD RIVER,1,0.15,6/1/1886
37-801,37-11556,BIG WOOD RIVER,1,0.69,3/24/1883
37-801,37-125,LOVING CREEK,1,0.2,4/1/1884
37-801,37-4142,WASTE WATER,1,4.6,4/30/1931
37-802,37-11671,BIG WOOD RIVER,1,1.38,3/24/1883
37-802,37-2345A,BIG WOOD RIVER,1,4.8,2/12/1917
37-802,37-353D,BIG WOOD RIVER,1,3.6,6/12/1886
37-802,37-418D,BIG WOOD RIVER,1,1.75,6/23/1888
37-802,37-419D,BIG WOOD RIVER,1,0.92,8/2/1889
37-802,37-443,LOVING CREEK,1,4,6/15/1888
37-802,37-480B,BIG WOOD RIVER,1,3.5,6/15/1891
37-802,37-637,LOVING CREEK,1,3.8,4/1/1885
37-802,37-665H,BIG WOOD RIVER,1,8.16,10/15/1884
37-802,37-666F,BIG WOOD RIVER,1,3.42,6/12/1886
37-802,37-667K,BIG WOOD RIVER,1,8.16,6/15/1891
37-802,37-713B,BIG WOOD RIVER,1,3,6/10/1880
37-804,37-11830,BIG WOOD RIVER,1,1.38,3/24/1883
37-8058,37-21733,BIG WOOD RIVER,1,0.08,5/2/1884
37-8058,37-21734,BIG WOOD RIVER,1,0.02,5/2/1884
37-8058,37-21735,BIG WOOD RIVER,1,0.24,8/15/1902
37-8058,37-21736,BIG WOOD RIVER,1,0.06,8/15/1902
37-8137,37-630B,LOVING CREEK,1,0.4,6/30/1885
37-8143,37-21733,BIG WOOD RIVER,1,0.08,5/2/1884
37-8143,37-21734,BIG WOOD RIVER,1,0.02,5/2/1884
37-8143,37-21735,BIG WOOD RIVER,1,0.24,8/15/1902
37-8143,37-21736,BIG WOOD RIVER,1,0.06,8/15/1902
37-8196,37-833F,BIG WOOD RIVER,1,1.3,11/12/1936
37-8218,37-637,LOVING CREEK,1,3.8,4/1/1885
37-8218,37-443,LOVING CREEK,1,4,6/15/1888
37-8218,37-666F,BIG WOOD RIVER,1,3.42,6/12/1886
37-8218,37-353D,BIG WOOD RIVER,1,3.6,6/12/1886
37-8218,37-713B,BIG WOOD RIVER,1,3,6/10/1880
37-8218,37-11671,BIG WOOD RIVER,1,1.38,3/24/1883
37-8218,37-418D,BIG WOOD RIVER,1,1.75,6/23/1888
37-8218,37-419D,BIG WOOD RIVER,1,0.92,8/2/1889
37-8218,37-480B,BIG WOOD RIVER,1,3.5,6/15/1891
37-8218,37-667K,BIG WOOD RIVER,1,8.16,6/15/1891
37-8218,37-665H,BIG WOOD RIVER,1,8.16,10/15/1884
37-8219,37-666F,BIG WOOD RIVER,1,3.42,6/12/1886
37-8219,37-418D,BIG WOOD RIVER,1,1.75,6/23/1888
37-8219,37-419D,BIG WOOD RIVER,1,0.92,8/2/1889
37-8219,37-480B,BIG WOOD RIVER,1,3.5,6/15/1891
37-8219,37-667K,BIG WOOD RIVER,1,8.16,6/15/1891
37-8219,37-637,LOVING CREEK,1,3.8,4/1/1885
37-8219,37-443,LOVING CREEK,1,4,6/15/1888
37-8219,37-2345A,BIG WOOD RIVER,1,4.8,2/12/1917
37-8219,37-713B,BIG WOOD RIVER,1,3,6/10/1880
37-8219,37-11671,BIG WOOD RIVER,1,1.38,3/24/1883
37-8219,37-665H,BIG WOOD RIVER,1,8.16,10/15/1884
37-8219,37-353D,BIG WOOD RIVER,1,3.6,6/12/1886
37-8441A,37-11807,BIG WOOD RIVER,1,1.7,7/10/1884
37-8441A,37-11808,BIG WOOD RIVER,1,0.8,8/1/1884
37-8441A,37-11809,BIG WOOD RIVER,1,3.2,8/1/1884
37-8441A,37-11810,BIG WOOD RIVER,1,3.48,10/15/1884
37-8441B,37-11807,BIG WOOD RIVER,1,1.7,7/10/1884
37-8441B,37-11808,BIG WOOD RIVER,1,0.8,8/1/1884
37-8441B,37-11809,BIG WOOD RIVER,1,3.2,8/1/1884
37-8441B,37-11810,BIG WOOD RIVER,1,3.48,10/15/1884
37-8536,37-562H,BIG WOOD RIVER,1,1.46,5/10/1887
37-8536,37-617B,BIG WOOD RIVER,1,3.35,6/1/1887
37-8613A,37-4F,BIG WOOD RIVER,1,0.09,3/24/1883
37-8810,37-4F,BIG WOOD RIVER,1,0.09,3/24/1883
